*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
!              |---------------------------------- Cumulative ---------------------------------|---------------------------------- Daily --------------------------------------|
!               N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                           Nitrification (g[N]/ha) by soil depth (cm):                             N2O flux (g[N]/ha) by soil depth (cm):                                  N2 flux (g[N]/ha) by soil depth (cm):                                   NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS   N2OEC    N2EC    NOEC   CO2TC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC   N2OED    N2ED    NOED   CO2TD    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   
 2015 150    48    0.03    0.71    0.01     252    9.41    79.3   0.091   0.079   9.317   0.037     2.6    57.9     0.6    5325     9.8    1904    0.11    1.90    9.65    0.67     0.0     0.0     2.5     7.3     0.0     0.0     0.0     0.0     0.0   1305.    154.     64.     52.     50.     48.    107.     70.     54.     1.3     0.2     0.1     0.1     0.0     0.0     0.1     0.1     0.1     0.0     0.0     2.4     7.2     0.0     0.0     0.0     0.0     0.0     0.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 151    49    0.03    0.77    0.01     257    9.41    81.0   0.091   0.081   9.322   0.038     2.5    56.8     0.6    5283     5.7    1700    0.06    1.70    5.60    0.58     0.0     0.0     0.0     0.0     5.0     0.7     0.0     0.0     0.0    948.    139.    149.    146.     54.     50.     97.     66.     53.     0.9     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     4.9     0.7     0.0     0.0     0.0     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 152    50    0.03    0.83    0.01     262    9.41    82.6   0.091   0.083   9.322   0.038     2.5    55.9     0.6    5323     0.0    1585    0.00    1.59    0.00    0.52     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    699.    129.    137.    133.    147.    132.     90.     64.     53.     0.7     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 153    51    0.03    0.83    0.01     268    9.41    83.4   0.091   0.083   9.322   0.038     0.1     2.0     0.0    5226     0.0     759    0.00    0.76    0.00    0.20     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    116.     21.     51.    121.    132.    119.     84.     62.     53.     0.1     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 154    52    0.03    0.84    0.01     273    9.41    84.2   0.091   0.084   9.322   0.039     0.7    15.4     0.2    5394     0.0     813    0.00    0.81    0.00    0.22     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    178.     36.     58.    113.    121.    111.     81.     62.     53.     0.2     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 155    53    0.04    0.88    0.01     279    9.41    85.1   0.091   0.085   9.322   0.039     1.7    38.6     0.4    5452     0.0     892    0.00    0.89    0.00    0.26     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    194.     47.    137.    106.    112.    103.     77.     61.     54.     0.2     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 156    54    0.04    0.94    0.01     284    9.41    86.1   0.091   0.086   9.322   0.039     2.3    54.9     0.6    5403     0.0    1084    0.00    1.08    0.00    0.34     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    340.    142.    125.     98.    101.     94.     73.     59.     53.     0.3     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 157    55    0.04    0.94    0.01     289    9.41    86.6   0.091   0.087   9.322   0.039     0.1     2.5     0.0    5200     0.0     486    0.00    0.49    0.00    0.13     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     58.     23.     23.     31.     92.     85.     67.     56.     51.     0.1     0.0     0.0     0.0     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 158    56    0.04    0.96    0.01     294    9.41    87.1   0.091   0.087   9.322   0.039     0.6    15.5     0.2    5256     0.0     521    0.00    0.52    0.00    0.14     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     81.     36.     36.     35.     85.     78.     64.     55.     51.     0.1     0.0     0.0     0.0     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 159    57    0.04    0.99    0.01     300    9.41    87.7   0.091   0.088   9.322   0.040     1.5    36.7     0.4    5217     0.0     586    0.00    0.59    0.00    0.17     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     84.     45.     46.     94.     80.     73.     61.     54.     50.     0.1     0.0     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 160    58    0.04    1.05    0.01     305    9.41    88.5   0.091   0.088   9.322   0.040     2.2    54.1     0.5    5214     0.0     735    0.00    0.74    0.00    0.22     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    147.    140.     54.     88.     75.     70.     59.     53.     50.     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 161    59    0.04    1.05    0.01     310    9.45    88.8   0.091   0.089   9.358   0.040     0.1     2.5     0.0    5107    36.3     298    0.32    0.30   36.00    0.12     0.0     0.0    36.3     0.0     0.0     0.0     0.0     0.0     0.0     27.     23.     26.     14.     21.     25.     58.     53.     50.     0.0     0.0     0.3     0.0     0.0     0.0     0.1     0.1     0.1     0.0     0.0    36.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0
 2015 162    60    0.04    1.06    0.01     315    9.47    89.1   0.092   0.089   9.379   0.040     0.5    12.6     0.1    5226    20.5     347    0.20    0.35   20.34    0.12     0.0     0.0    20.5     0.0     0.0     0.0     0.0     0.0     0.0     39.     35.     39.     22.     25.     27.     57.     52.     50.     0.0     0.0     0.2     0.0     0.0     0.0     0.1     0.1     0.1     0.0     0.0    20.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 163    61    0.04    1.09    0.01     320    9.48    89.6   0.092   0.090   9.388   0.040     1.2    31.4     0.3    5240     9.1     437    0.10    0.44    8.96    0.14     0.0     0.0     9.1     0.0     0.0     0.0     0.0     0.0     0.0     49.     46.     51.     30.     29.     74.     56.     52.     50.     0.0     0.0     0.2     0.0     0.0     0.1     0.1     0.1     0.1     0.0     0.0     9.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 164    62    0.04    1.10    0.01     325    9.51    89.8   0.092   0.090   9.421   0.040     0.1     2.3     0.0    5033    33.3     245    0.29    0.25   33.02    0.10     0.0     0.0    33.3     0.0     0.0     0.0     0.0     0.0     0.0     23.     24.     27.     17.     14.     19.     20.     52.     50.     0.0     0.0     0.3     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0    33.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 165    63    0.04    1.11    0.01     331    9.62    90.1   0.093   0.090   9.522   0.041     0.5    14.0     0.1    5259   102.6     315    0.99    0.31  101.58    0.24    12.9    12.8    17.9    24.0    34.9     0.0     0.0     0.0     0.0     35.     39.     43.     27.     22.     24.     23.     52.     50.     0.2     0.2     0.2     0.3     0.3     0.0     0.0     0.1     0.1    12.8    12.6    17.7    23.8    34.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0
 2015 166    64    0.05    1.14    0.01     336    9.66    90.5   0.093   0.091   9.571   0.041     1.2    33.2     0.3    5274    49.1     402    0.51    0.40   48.58    0.21     5.1     3.9     7.9    12.4    19.8     0.0     0.0     0.0     0.0     41.     48.     54.     35.     29.     28.     65.     52.     51.     0.1     0.1     0.1     0.2     0.2     0.0     0.1     0.1     0.1     5.0     3.8     7.8    12.2    19.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 167    65    0.05    1.20    0.01     341    9.68    91.1   0.094   0.091   9.588   0.041     2.0    54.3     0.5    5347    17.0     584    0.18    0.58   16.82    0.21     0.0     0.0     1.7     5.0    10.2     0.0     0.0     0.0     0.0     90.    153.     64.     41.     35.     32.     64.     53.     52.     0.1     0.2     0.1     0.1     0.1     0.0     0.1     0.1     0.1     0.0     0.0     1.7     5.0    10.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 168    66    0.05    1.20    0.01     347    9.70    91.5   0.094   0.091   9.605   0.041     0.1     2.1     0.0    5312    18.1     386    0.20    0.39   17.86    0.15     0.0     0.0     4.2     3.6     6.7     3.6     0.0     0.0     0.0     16.     27.     61.     43.     38.     34.     62.     53.     52.     0.0     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     4.2     3.5     6.6     3.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 169    67    0.05    1.21    0.01     352    9.70    91.9   0.094   0.092   9.609   0.041     0.4    12.2     0.1    5383     3.1     418    0.04    0.42    3.05    0.13     0.0     0.0     0.9     0.2     1.9     0.2     0.0     0.0     0.0     24.     40.     65.     47.     41.     36.     61.     53.     52.     0.0     0.0     0.1     0.0     0.1     0.0     0.1     0.1     0.1     0.0     0.0     0.8     0.2     1.8     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 170    68    0.05    1.24    0.01     357    9.70    92.6   0.094   0.093   9.609   0.041     1.0    29.7     0.2    5388     0.0     722    0.00    0.72    0.00    0.21     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     29.     50.    151.    123.    111.     95.     59.     52.     52.     0.0     0.0     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 171    69    0.05    1.29    0.01     363    9.70    93.4   0.094   0.093   9.609   0.042     1.7    48.2     0.4    5323     0.0     776    0.00    0.78    0.00    0.23     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     29.    154.    136.    110.    100.     87.     57.     52.     51.     0.0     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 172    70    0.05    1.34    0.01     368    9.70    94.1   0.094   0.094   9.609   0.042     1.8    54.5     0.4    5183     0.0     723    0.00    0.72    0.00    0.21     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     51.    134.    120.     98.     89.     78.     54.     50.     49.     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 173    71    0.05    1.35    0.01     373    9.70    94.6   0.094   0.095   9.609   0.042     0.1     1.6     0.0    4958     0.0     527    0.00    0.53    0.00    0.15     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      8.     29.    106.     87.     80.     71.     51.     48.     47.     0.0     0.0     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 174    72    0.05    1.36    0.01     378    9.70    95.2   0.094   0.095   9.609   0.042     0.3    10.0     0.1    4915     0.0     503    0.00    0.50    0.00    0.15     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     11.     35.     97.     79.     74.     65.     49.     46.     46.     0.0     0.0     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 175    73    0.05    1.38    0.01     383    9.70    95.6   0.094   0.096   9.609   0.042     0.8    23.9     0.2    4814     0.0     483    0.00    0.48    0.00    0.14     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     12.     40.     89.     73.     69.     61.     48.     45.     45.     0.0     0.0     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
!              |---------------------------------- Cumulative ---------------------------------|---------------------------------- Daily --------------------------------------|
!               N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                           Nitrification (g[N]/ha) by soil depth (cm):                             N2O flux (g[N]/ha) by soil depth (cm):                                  N2 flux (g[N]/ha) by soil depth (cm):                                   NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS   N2OEC    N2EC    NOEC   CO2TC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC   N2OED    N2ED    NOED   CO2TD    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   
 2015 126     1    0.00    0.00    0.00       6    0.00     1.8   0.000   0.002   0.000   0.002     0.0     0.0     0.0    5885     0.0    1774    0.00    1.77    0.00    2.00     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    195.    207.    202.    198.    197.    195.    194.    193.    192.     0.2     0.2     0.2     0.2     0.2     0.2     0.2     0.2     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.2     0.2     0.2     0.2     0.2     0.2     0.2     0.2
 2015 127     2    0.00    0.00    0.00      11    0.00     2.4   0.000   0.003   0.000   0.002     0.0     0.0     0.0    5230     0.0     578    0.00    0.58    0.00    0.36     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    169.     27.     30.     27.     27.     27.     50.     60.    161.     0.2     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1
 2015 128     3    0.00    0.00    0.00      17    0.00     3.4   0.000   0.004   0.000   0.003     0.0     0.0     0.0    5425     0.0    1092    0.00    1.09    0.00    0.45     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    788.     31.     34.     29.     29.     29.     44.     55.     53.     0.8     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 129     4    0.00    0.00    0.00      22    0.00     5.0   0.000   0.006   0.000   0.004     0.0     0.0     0.0    5542     0.0    1576    0.00    1.58    0.00    0.64     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0   1103.     49.     49.     42.     43.     42.     52.     58.    137.     1.1     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1
 2015 130     5    0.00    0.00    0.00      27    0.00     6.8   0.000   0.007   0.000   0.004     0.1     0.0     0.0    5395     0.0    1802    0.00    1.80    0.00    0.72     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0   1211.     61.     59.     50.     50.     50.     55.    147.    119.     1.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.5     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1
 2015 131     6    0.00    0.00    0.00      33    0.44     7.8   0.006   0.008   0.431   0.005     0.0     0.1     0.0    5059   436.5     956    5.59    0.96  430.89    1.09    83.8    66.8    74.6    72.6    73.6    50.3    14.8     0.0     0.0    518.     33.     30.     27.     26.     36.     50.    129.    106.     1.6     0.8     1.0     0.9     0.9     0.7     0.3     0.1     0.1    82.8    66.0    73.7    71.7    72.7    49.6    14.5     0.0     0.0     0.3     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0
 2015 132     7    0.00    0.00    0.00      37    0.93     8.4   0.010   0.009   0.915   0.006     0.0     0.2     0.0    4645   489.0     659    4.87    0.66  484.10    0.82    63.6    59.4    69.1    71.2    74.6    75.4    75.7     0.0     0.0    478.     30.     28.     23.     23.     23.     22.     17.     14.     1.1     0.6     0.7     0.7     0.8     0.8     0.8     0.0     0.0    62.9    58.8    68.4    70.5    73.8    74.7    74.9     0.0     0.0     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0
 2015 133     8    0.00    0.00    0.00      42    1.22     9.4   0.013   0.010   1.206   0.007     0.1     1.5     0.0    4894   293.5     938    2.74    0.94  290.75    0.61    41.6    34.5    40.9    42.0    44.2    45.0    45.3     0.0     0.0    672.     43.     41.     34.     34.     34.     32.     26.     22.     1.1     0.4     0.4     0.4     0.4     0.4     0.4     0.0     0.0    41.2    34.2    40.5    41.6    43.8    44.6    44.8     0.0     0.0     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0
 2015 134     9    0.00    0.01    0.00      47    1.46    10.4   0.016   0.011   1.448   0.007     0.1     3.5     0.0    4718   244.8    1015    2.36    1.02  242.47    0.61    30.7    29.9    32.3    36.5    38.0    38.6    38.8     0.0     0.0    739.     44.     44.     35.     35.     35.     33.     27.     23.     1.1     0.3     0.4     0.4     0.4     0.4     0.4     0.0     0.0    30.3    29.6    32.0    36.2    37.7    38.2    38.5     0.0     0.0     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0
 2015 135    10    0.00    0.01    0.00      51    1.60    11.6   0.017   0.012   1.580   0.008     0.3     6.7     0.1    4697   133.0    1162    1.39    1.16  131.64    0.58    18.9    15.0    17.5    19.6    20.4    20.7    20.9     0.0     0.0    820.     54.     53.     44.     44.     43.     41.     34.     29.     1.0     0.2     0.2     0.2     0.3     0.3     0.3     0.0     0.0    18.6    14.9    17.3    19.4    20.2    20.5    20.7     0.0     0.0     0.3     0.0     0.1     0.0     0.1     0.1     0.1     0.0     0.0
 2015 136    11    0.00    0.01    0.00      56    1.99    12.1   0.021   0.013   1.974   0.009     0.0     0.4     0.0    4358   397.8     572    3.57    0.57  394.27    0.66    65.0    49.5    56.4    59.0    63.0    44.9    24.2    18.7    17.2    337.     28.     26.     23.     23.     31.     39.     34.     30.     0.9     0.4     0.5     0.5     0.6     0.4     0.3     0.2     0.3    64.5    49.1    55.9    58.5    62.5    44.4    23.9    18.5    17.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.1
 2015 137    12    0.00    0.02    0.00      61    2.24    13.0   0.023   0.013   2.214   0.009     0.1     2.8     0.0    4693   242.0     852    2.35    0.85  239.63    0.58    45.3    30.1    35.0    36.3    38.8    26.8    12.9     9.0     7.9    536.     43.     41.     36.     35.     41.     45.     39.     35.     1.0     0.3     0.4     0.4     0.4     0.3     0.2     0.1     0.1    44.8    29.8    34.7    35.9    38.4    26.5    12.8     8.9     7.8     0.2     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0
 2015 138    13    0.00    0.02    0.00      65    2.36    14.1   0.024   0.015   2.337   0.010     0.2     7.4     0.1    4874   124.4    1090    1.31    1.09  123.10    0.52    29.2    15.2    19.8    20.3    21.7    13.4     3.8     1.0     0.1    698.     57.     55.     47.     47.     50.     52.     45.     40.     1.0     0.2     0.3     0.3     0.3     0.2     0.1     0.1     0.0    28.8    15.1    19.6    20.1    21.5    13.3     3.8     1.0     0.1     0.2     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0
 2015 139    14    0.00    0.04    0.00      70    2.41    15.5   0.025   0.016   2.389   0.010     0.4    13.0     0.1    5003    53.1    1464    0.60    1.46   52.54    0.56    16.0     4.9     9.3     9.2     9.8     4.0     0.0     0.0     0.0    794.     66.     65.     55.     55.     57.    143.    121.    107.     1.0     0.1     0.2     0.2     0.2     0.1     0.1     0.1     0.1    15.8     4.8     9.2     9.1     9.7     4.0     0.0     0.0     0.0     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 140    15    0.00    0.04    0.00      75    2.59    17.6   0.026   0.018   2.564   0.011     0.0     0.7     0.0    4947   176.4    2041    1.60    2.04  174.80    0.64    89.4    55.9    15.7     8.6     5.9     0.9     0.0     0.0     0.0   1430.     33.     61.     56.     58.     59.    132.    112.    100.     2.2     0.5     0.2     0.1     0.1     0.1     0.1     0.1     0.1    88.7    55.4    15.5     8.5     5.9     0.9     0.0     0.0     0.0     0.3     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0
 2015 141    16    0.00    0.04    0.00      80    2.75    20.3   0.028   0.021   2.724   0.012     0.1     3.2     0.0    5093   160.9    2694    1.54    2.69  159.36    0.78    76.8    51.6    19.6     9.5     3.4     0.0     0.0     0.0     0.0   2009.     38.     58.     56.     59.    154.    121.    105.     94.     2.8     0.5     0.3     0.2     0.1     0.2     0.1     0.1     0.1    76.0    51.1    19.4     9.4     3.4     0.0     0.0     0.0     0.0     0.4     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0
 2015 142    17    0.00    0.05    0.00      86    2.84    23.8   0.029   0.024   2.812   0.013     0.4    10.8     0.1    5230    89.2    3492    0.95    3.49   88.29    0.99    52.5    26.8     8.5     1.4     0.0     0.0     0.0     0.0     0.0   2697.     57.     68.     62.    162.    143.    114.     99.     90.     3.3     0.3     0.2     0.1     0.2     0.1     0.1     0.1     0.1    51.9    26.5     8.4     1.4     0.0     0.0     0.0     0.0     0.0     0.7     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 143    18    0.00    0.05    0.00      91    3.15    25.6   0.032   0.026   3.117   0.013     0.0     1.1     0.0    5003   307.9    1799    2.66    1.80  305.27    0.71   118.8    61.8    62.6    64.8     0.0     0.0     0.0     0.0     0.0   1351.     36.     31.     27.     28.     46.    104.     91.     84.     2.4     0.6     0.6     0.6     0.0     0.0     0.1     0.1     0.1   117.8    61.3    62.0    64.2     0.0     0.0     0.0     0.0     0.0     0.4     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0
 2015 144    19    0.00    0.06    0.00      96    3.34    28.1   0.033   0.029   3.305   0.014     0.2     7.5     0.1    5203   189.4    2532    1.85    2.53  187.56    0.80    80.6    34.2    36.7    37.9     0.0     0.0     0.0     0.0     0.0   2040.     54.     48.     41.     40.     49.     95.     85.     78.     2.9     0.4     0.4     0.4     0.0     0.0     0.1     0.1     0.1    79.8    33.9    36.4    37.5     0.0     0.0     0.0     0.0     0.0     0.5     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0
 2015 145    20    0.00    0.08    0.00     101    3.44    31.2   0.034   0.032   3.403   0.015     0.7    20.1     0.1    5239    99.9    3114    1.09    3.11   98.76    0.99    47.4    13.8    18.5    20.1     0.0     0.0     0.0     0.0     0.0   2510.     68.     62.     52.     49.    130.     89.     80.     75.     3.1     0.2     0.3     0.3     0.0     0.1     0.1     0.1     0.1    46.8    13.7    18.3    19.9     0.0     0.0     0.0     0.0     0.0     0.7     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0
 2015 146    21    0.00    0.11    0.00     106    3.47    34.6   0.035   0.035   3.434   0.016     1.3    35.3     0.3    5344    31.1    3430    0.38    3.43   30.70    1.18    15.9     0.3     6.5     8.4     0.0     0.0     0.0     0.0     0.0   2806.     78.     72.     61.     56.    121.     86.     78.     73.     3.0     0.1     0.1     0.2     0.1     0.1     0.1     0.1     0.1    15.7     0.3     6.5     8.3     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
