*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:19:28
!              |---------------------------------- Cumulative ---------------------------------|---------------------------------- Daily --------------------------------------|
!               N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                           Nitrification (g[N]/ha) by soil depth (cm):                             N2O flux (g[N]/ha) by soil depth (cm):                                  N2 flux (g[N]/ha) by soil depth (cm):                                   NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS   N2OEC    N2EC    NOEC   CO2TC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC   N2OED    N2ED    NOED   CO2TD    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   
 2015 113    11    0.00    0.01    0.00      62    2.81    13.5   0.029   0.014   2.778   0.010     0.2     5.8     0.0    5873   320.0    1329    3.16    1.33  316.80    0.84    50.5    33.8    43.1    44.4    46.9    36.6    23.9    20.6    20.1    868.     82.     64.     52.     50.     54.     58.     54.     46.     1.4     0.4     0.5     0.5     0.5     0.4     0.3     0.3     0.3    50.0    33.5    42.7    44.0    46.5    36.3    23.7    20.4    19.9     0.3     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
 2015 114    12    0.00    0.01    0.00      68    3.42    14.3   0.034   0.014   3.382   0.011     0.0     0.7     0.0    5515   608.8     766    5.29    0.77  603.50    0.92    87.1    65.2    71.6    73.5    77.4    78.9    79.5    51.0    24.5    455.     52.     42.     35.     34.     33.     31.     40.     44.     1.2     0.6     0.7     0.7     0.7     0.7     0.7     0.5     0.3    86.4    64.7    71.0    72.8    76.8    78.3    78.9    50.5    24.2     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
 2015 115    13    0.00    0.02    0.00      74    3.95    15.3   0.039   0.015   3.910   0.012     0.1     4.2     0.0    5712   533.1     999    4.80    1.00  528.26    0.93    62.2    57.5    58.2    66.2    69.1    70.2    70.6    51.5    27.6    656.     58.     52.     39.     38.     37.     35.     40.     43.     1.3     0.6     0.6     0.6     0.6     0.6     0.7     0.5     0.3    61.6    57.0    57.6    65.6    68.5    69.6    70.0    51.0    27.4     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
 2015 116    14    0.00    0.03    0.00      79    4.25    16.6   0.042   0.017   4.209   0.013     0.3    11.8     0.1    5897   302.4    1297    3.01    1.30  299.35    0.84    38.6    29.7    32.8    38.3    40.1    40.8    41.1    28.5    12.5    819.     84.     72.     57.     56.     54.     52.     52.     51.     1.3     0.4     0.4     0.4     0.4     0.4     0.4     0.3     0.2    38.1    29.4    32.5    38.0    39.7    40.4    40.7    28.2    12.4     0.3     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0
 2015 117    15    0.00    0.03    0.00      85    4.60    17.5   0.046   0.017   4.550   0.013     0.0     1.4     0.0    5777   343.8     894    3.29    0.89  340.50    0.74   104.9    42.2    27.6    31.9    33.1    33.5    33.7    25.2    11.7    413.     71.     75.     60.     59.     57.     55.     53.     51.     1.3     0.5     0.4     0.4     0.4     0.4     0.4     0.3     0.2   103.9    41.8    27.4    31.6    32.8    33.2    33.3    24.9    11.6     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0
 2015 118    16    0.00    0.04    0.00      91    4.86    18.6   0.048   0.019   4.815   0.014     0.2     7.8     0.0    5859   268.0    1105    2.71    1.11  265.25    0.74    68.1    38.4    23.4    26.4    26.9    26.9    26.9    21.0    10.0    601.     74.     77.     63.     63.     61.     59.     56.     52.     1.3     0.4     0.3     0.3     0.3     0.3     0.3     0.3     0.2    67.4    38.0    23.1    26.2    26.6    26.6    26.6    20.8     9.9     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0
 2015 119    17    0.00    0.04    0.00      97    5.52    20.3   0.054   0.020   5.468   0.015     0.0     0.5     0.0    5442   658.7    1684    5.64    1.68  653.05    1.09    94.5    53.5    64.4    68.6    75.1    78.8    80.8    82.3    60.6   1389.     58.     43.     36.     34.     33.     31.     28.     32.     2.2     0.5     0.6     0.6     0.7     0.7     0.7     0.7     0.6    93.8    53.0    63.9    68.0    74.5    78.2    80.1    81.6    60.0     0.3     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
 2015 120    18    0.00    0.05    0.00     102    5.90    23.3   0.058   0.023   5.842   0.016     0.2     7.4     0.0    5773   377.6    2989    3.63    2.99  374.01    1.15    65.0    23.2    34.6    38.3    42.9    45.5    46.7    47.7    33.7   2556.     81.     64.     53.     52.     50.     48.     43.     42.     3.2     0.3     0.4     0.4     0.5     0.5     0.5     0.5     0.4    64.4    23.0    34.2    38.0    42.5    45.0    46.3    47.3    33.3     0.5     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
 2015 121    19    0.00    0.05    0.00     107    6.33    25.0   0.061   0.025   6.268   0.017     0.1     3.7     0.0    4753   429.7    1781    3.91    1.78  425.83    0.91    80.6    50.3    55.9    57.2    41.5    37.9    37.6    38.3    30.4   1497.     39.     31.     28.     38.     40.     39.     36.     34.     2.2     0.5     0.5     0.5     0.4     0.4     0.4     0.4     0.3    79.8    49.9    55.4    56.7    41.1    37.6    37.3    38.0    30.1     0.3     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
 2015 122    20    0.00    0.06    0.00     112    6.56    27.4   0.064   0.027   6.499   0.018     0.4    16.0     0.1    4788   233.0    2404    2.36    2.40  230.68    0.94    49.8    23.9    30.4    31.9    22.3    20.0    19.8    20.2    14.9   2033.     58.     48.     41.     47.     48.     47.     43.     40.     2.6     0.3     0.3     0.3     0.3     0.3     0.2     0.2     0.2    49.2    23.6    30.1    31.6    22.0    19.8    19.6    20.0    14.7     0.5     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0
 2015 123    21    0.00    0.10    0.00     117    6.66    30.2   0.065   0.030   6.598   0.019     1.0    34.8     0.2    4747   100.3    2757    1.11    2.76   99.20    1.02    23.3     7.4    13.7    16.0    10.0     8.5     8.2     8.4     4.7   2330.     69.     59.     49.     53.     53.     52.     48.     43.     2.6     0.1     0.2     0.2     0.2     0.1     0.1     0.1     0.1    23.0     7.3    13.6    15.9     9.9     8.4     8.1     8.3     4.7     0.7     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 124    22    0.00    0.15    0.00     121    6.68    33.2   0.065   0.033   6.612   0.020     1.6    51.9     0.3    4689    13.8    3049    0.16    3.05   13.64    1.10     0.9     0.0     3.5     5.7     1.9     0.8     0.5     0.5     0.0   2392.    204.     64.     55.     56.     56.     55.     51.    116.     2.4     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.9     0.0     3.4     5.7     1.9     0.8     0.5     0.5     0.0     0.9     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 125    23    0.00    0.15    0.00     126    6.84    34.8   0.067   0.035   6.775   0.021     0.0     1.6     0.0    4478   165.2    1539    1.47    1.54  163.69    0.55   155.6     0.0     5.4     3.8     0.5     0.0     0.0     0.0     0.0    824.     45.     58.     53.     54.    139.    136.    127.    103.     2.2     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1   154.2     0.0     5.3     3.7     0.5     0.0     0.0     0.0     0.0     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 126    24    0.00    0.16    0.00     131    7.02    36.9   0.068   0.037   6.953   0.022     0.1     4.9     0.0    5248   179.8    2081    1.72    2.08  178.08    0.71   140.8     0.0    27.2    10.1     1.7     0.0     0.0     0.0     0.0   1295.     39.     56.     61.     66.    156.    152.    141.    115.     2.6     0.0     0.3     0.2     0.1     0.2     0.2     0.1     0.1   139.5     0.0    26.9    10.0     1.7     0.0     0.0     0.0     0.0     0.4     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0
 2015 127    25    0.00    0.16    0.00     136    7.35    38.4   0.071   0.038   7.281   0.022     0.1     3.1     0.0    4996   330.8    1484    2.86    1.48  327.95    0.68   128.3     0.0    65.8    65.2    71.5     0.0     0.0     0.0     0.0   1055.     36.     31.     27.     26.     33.     48.    125.    103.     2.2     0.0     0.6     0.6     0.6     0.0     0.0     0.1     0.1   127.2     0.0    65.3    64.6    70.9     0.0     0.0     0.0     0.0     0.3     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0
 2015 128    26    0.01    0.18    0.00     141    7.61    40.2   0.074   0.040   7.538   0.023     0.4    14.5     0.1    5137   259.0    1896    2.39    1.90  256.61    0.74    85.6     0.0    51.4    57.9    64.2     0.0     0.0     0.0     0.0   1468.     42.     40.     31.     30.     32.     44.    113.     95.     2.3     0.0     0.5     0.5     0.6     0.0     0.0     0.1     0.1    84.7     0.0    50.9    57.4    63.6     0.0     0.0     0.0     0.0     0.4     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0
 2015 129    27    0.01    0.21    0.00     146    7.79    42.5   0.075   0.043   7.710   0.024     1.0    38.0     0.2    5218   174.0    2269    1.78    2.27  172.23    0.89    46.6    28.0    27.8    33.5    38.2     0.0     0.0     0.0     0.0   1781.     59.     56.     45.     44.     42.     49.    104.     88.     2.3     0.3     0.3     0.4     0.4     0.0     0.0     0.1     0.1    46.0    27.7    27.5    33.2    37.8     0.0     0.0     0.0     0.0     0.5     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0
 2015 130    28    0.01    0.28    0.00     152    7.86    44.9   0.076   0.045   7.785   0.025     1.8    64.1     0.4    5254    75.7    2426    0.83    2.43   74.90    0.94    14.7     8.6    12.2    18.1    22.1     0.0     0.0     0.0     0.0   1902.     68.     66.     55.     54.     49.     52.     97.     83.     2.1     0.2     0.2     0.2     0.3     0.0     0.1     0.1     0.1    14.6     8.5    12.1    17.9    21.9     0.0     0.0     0.0     0.0     0.7     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0
 2015 131    29    0.01    0.35    0.00     157    7.89    49.3   0.076   0.049   7.810   0.027     2.3    75.5     0.5    5280    25.5    4354    0.28    4.35   25.21    1.60     0.0     0.0     1.1     7.0    10.6     6.9     0.0     0.0     0.0   3603.    198.     71.     62.     61.     53.    137.     90.     79.     3.6     0.2     0.1     0.1     0.2     0.1     0.1     0.1     0.1     0.0     0.0     1.1     6.9    10.5     6.8     0.0     0.0     0.0     1.3     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 132    30    0.01    0.35    0.00     162    8.09    50.2   0.078   0.050   8.011   0.027     0.0     1.6     0.0    4854   202.4     879    1.78    0.88  200.66    0.44     0.0     0.0    69.9    65.2    48.2    19.1     0.0     0.0     0.0    524.     25.     27.     25.     36.     45.     44.     80.     71.     0.5     0.0     0.6     0.6     0.5     0.2     0.0     0.1     0.1     0.0     0.0    69.3    64.7    47.8    18.9     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.0     0.0     0.0
 2015 133    31    0.01    0.37    0.00     167    8.21    51.3   0.079   0.051   8.129   0.027     0.4    12.0     0.1    4878   119.7    1152    1.15    1.15  118.54    0.43     0.0     0.0    40.8    39.2    29.1    10.6     0.0     0.0     0.0    773.     36.     39.     36.     43.     46.     43.     72.     64.     0.8     0.0     0.4     0.4     0.3     0.2     0.0     0.1     0.1     0.0     0.0    40.4    38.8    28.8    10.5     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0
 2015 134    32    0.01    0.39    0.00     171    8.32    52.5   0.080   0.053   8.237   0.028     0.9    27.4     0.2    4701   108.6    1212    1.06    1.21  107.50    0.46     0.0     0.0    30.2    34.0    29.2    15.1     0.0     0.0     0.0    849.     37.     42.     37.     41.     42.     40.     65.     59.     0.8     0.0     0.3     0.4     0.3     0.2     0.0     0.1     0.1     0.0     0.0    29.9    33.7    28.9    15.0     0.0     0.0     0.0     0.2     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0
 2015 135    33    0.01    0.40    0.00     176    8.48    53.3   0.082   0.053   8.395   0.028     0.1     2.9     0.0    4546   159.1     761    1.45    0.76  157.61    0.38     0.0     0.0    61.1    45.4    33.0    19.6     0.0     0.0     0.0    443.     25.     26.     30.     39.     40.     39.     62.     57.     0.4     0.0     0.6     0.4     0.4     0.2     0.0     0.1     0.1     0.0     0.0    60.5    45.0    32.7    19.4     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0
 2015 136    34    0.01    0.40    0.00     180    8.96    53.9   0.086   0.054   8.871   0.029     0.1     4.0     0.0    4317   480.2     609    4.14    0.61  476.06    0.71    96.8    70.0    62.8    57.6    61.8    68.1    62.9     0.0     0.0    435.     25.     25.     23.     23.     19.     19.     19.     21.     1.3     0.6     0.6     0.5     0.5     0.6     0.6     0.0     0.0    95.9    69.4    62.3    57.1    61.3    67.6    62.4     0.0     0.0     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0
 2015 137    35    0.01    0.42    0.00     185    9.25    54.8   0.089   0.055   9.162   0.030     0.6    19.3     0.1    4664   293.9     916    2.81    0.92  291.11    0.66    57.2    37.0    37.6    36.4    40.1    44.6    41.1     0.0     0.0    632.     36.     39.     36.     35.     30.     28.     22.     58.     1.2     0.4     0.4     0.4     0.4     0.4     0.4     0.0     0.1    56.6    36.6    37.2    36.0    39.8    44.2    40.7     0.0     0.0     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0
 2015 138    36    0.01    0.47    0.00     190    9.40    55.9   0.090   0.056   9.310   0.030     1.5    49.5     0.3    4837   149.5    1121    1.56    1.12  147.94    0.62    22.5    11.0    17.3    20.0    24.6    28.3    25.7     0.0     0.0    772.     46.     51.     47.     46.     39.     36.     26.     59.     1.0     0.2     0.2     0.2     0.3     0.3     0.3     0.0     0.1    22.2    10.9    17.1    19.8    24.3    28.1    25.5     0.0     0.0     0.3     0.0     0.1     0.0     0.1     0.1     0.1     0.0     0.0
 2015 139    37    0.02    0.55    0.00     195    9.46    58.0   0.091   0.058   9.369   0.031     2.4    78.5     0.5    4962    60.3    2033    0.64    2.03   59.62    0.84     0.0     0.0     4.0     9.3    14.1    17.4    15.4     0.0     0.0   1557.    136.     57.     54.     54.     46.     42.     28.     59.     1.6     0.1     0.1     0.2     0.2     0.2     0.2     0.0     0.1     0.0     0.0     4.0     9.2    14.0    17.2    15.3     0.0     0.0     0.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 140    38    0.02    0.55    0.00     200    9.51    59.7   0.092   0.060   9.419   0.031     0.1     3.3     0.0    4966    50.1    1763    0.54    1.76   49.53    0.43     0.0     0.0     2.7     5.1    10.1    14.3    13.9     4.1     0.0   1380.     36.     57.     55.     56.     49.     43.     29.     58.     1.4     0.0     0.1     0.1     0.2     0.2     0.2     0.1     0.1     0.0     0.0     2.6     5.0    10.0    14.2    13.7     4.0     0.0     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 141    39    0.02    0.57    0.00     205    9.55    62.1   0.092   0.062   9.460   0.032     0.5    15.8     0.1    5075    41.5    2340    0.45    2.34   41.07    0.57     0.0     0.0     4.4     3.2     6.6    10.9    11.6     4.8     0.0   1950.     36.     57.     54.     58.     51.     45.     30.     58.     1.9     0.0     0.1     0.1     0.1     0.2     0.2     0.1     0.1     0.0     0.0     4.4     3.2     6.6    10.8    11.4     4.7     0.0     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 142    40    0.02    0.62    0.00     210    9.57    65.2   0.092   0.065   9.475   0.033     1.7    50.3     0.4    5180    15.5    3068    0.17    3.07   15.33    0.90     0.0     0.0     0.0     0.0     2.1     5.4     5.7     2.3     0.0   2476.     48.    140.    146.     62.     56.     49.     33.     58.     2.5     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     2.0     5.3     5.7     2.3     0.0     0.7     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 143    41    0.02    0.62    0.00     215    9.60    66.6   0.092   0.067   9.506   0.033     0.2     4.7     0.0    5047    30.8    1488    0.33    1.49   30.51    0.33     0.0     0.0     0.0     0.0    16.0     7.9     5.1     1.8     0.0   1167.     25.     24.     26.     52.     54.     49.     34.     57.     1.2     0.0     0.0     0.0     0.2     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0    15.8     7.8     5.1     1.8     0.0     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 144    42    0.02    0.65    0.00     220    9.70    68.6   0.094   0.069   9.610   0.034     0.8    23.8     0.2    5157   105.4    1941    1.10    1.94  104.34    0.62    60.2    30.4     0.0     0.0     9.0     3.9     1.9     0.1     0.0   1577.     37.     39.     36.     55.     55.     50.     35.     55.     2.2     0.3     0.0     0.0     0.2     0.1     0.1     0.0     0.1    59.6    30.1     0.0     0.0     8.9     3.8     1.9     0.1     0.0     0.4     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 145    43    0.02    0.70    0.00     225    9.74    70.8   0.094   0.071   9.641   0.035     2.0    57.7     0.4    5181    31.7    2215    0.37    2.21   31.30    0.75    18.6     6.9     0.0     0.0     4.1     2.1     0.0     0.0     0.0   1757.     47.     52.     44.     58.     56.     52.     94.     55.     2.0     0.1     0.1     0.0     0.1     0.1     0.1     0.1     0.1    18.3     6.8     0.0     0.0     4.1     2.1     0.0     0.0     0.0     0.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 146    44    0.02    0.78    0.01     231    9.74    74.8   0.094   0.075   9.643   0.036     2.8    77.3     0.7    5268     1.9    3986    0.02    3.99    1.91    1.42     0.0     0.0     0.0     0.0     1.7     0.2     0.0     0.0     0.0   3324.    147.     63.     52.     60.     59.    137.     90.     55.     3.3     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     1.7     0.2     0.0     0.0     0.0     1.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 147    45    0.02    0.79    0.01     236    9.95    75.7   0.096   0.076   9.859   0.037     0.2     4.2     0.0    5204   217.6     907    1.91    0.91  215.73    0.45     0.0     0.0    56.0    58.4    67.5    35.7     0.0     0.0     0.0    621.     26.     31.     26.     26.     42.     46.     33.     56.     0.6     0.0     0.5     0.5     0.6     0.4     0.0     0.0     0.1     0.0     0.0    55.5    57.9    66.9    35.4     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.0     0.0     0.0
 2015 148    46    0.03    0.81    0.01     241   10.08    77.0   0.097   0.077   9.987   0.037     0.9    23.9     0.2    5447   128.9    1280    1.24    1.28  127.70    0.49     0.0     0.0    28.7    34.3    43.0    23.0     0.0     0.0     0.0    867.     42.     48.     39.     39.     50.     49.     90.     56.     0.9     0.0     0.3     0.4     0.4     0.3     0.0     0.1     0.1     0.0     0.0    28.5    33.9    42.6    22.8     0.0     0.0     0.0     0.2     0.0     0.1     0.1     0.1     0.1     0.0     0.0     0.0
 2015 149    47    0.03    0.86    0.01     247   10.15    78.3   0.098   0.078  10.056   0.038     2.1    54.9     0.5    5431    70.1    1343    0.72    1.34   69.34    0.53     0.0     0.0    11.1    18.1    26.5    14.4     0.0     0.0     0.0    893.     51.     60.     47.     49.     54.     50.     84.     56.     0.9     0.1     0.2     0.2     0.3     0.2     0.0     0.1     0.1     0.0     0.0    11.0    17.9    26.2    14.3     0.0     0.0     0.0     0.3     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0
